Child	Parent
09fallcaspy212_b1	09fallcaspy212_b1
09fallcaspy212_a1	09fallcaspy212_b1
09fallcaspy212_c1	09fallcaspy212_b1
09fallmetma123_s1	09fallmetma123_s1
09fallmetma123_s2	09fallmetma123_s1
09fallcaswr150_k4	09fallcaswr150_k4
09fallcaswr150_l1	09fallcaswr150_k4
09fallsarhp151_a1	09fallsarhp151_a1
09fallsarhp151_a2	09fallsarhp151_a1
09fallsarhp151_a3	09fallsarhp151_a1
09fallsarhp151_a4	09fallsarhp151_a1
09fallmedms122_a1	09fallmedms122_a1
09fallgmsan701_a1	09fallmedms122_a1
09fallcaswr150_b1	09fallcaswr150_b1
09fallcaswr150_c1	09fallcaswr150_b1
09fallcaswr150_c1	09fallcaswr150_b1
09fallsswhb720_a1	09fallsswhb720_a1
09fallsswhb720_a2	09fallsswhb720_a1
09fallsarot502_a1	09fallsarot502_a1
09fallsarot502_a2	09fallsarot502_a1
09fallsarot502_a3	09fallsarot502_a1
09fallcgsrh101_b5	09fallcgsrh101_b5
09fallcgsrh101_b6	09fallcgsrh101_b5
09fallcgsrh101_b7	09fallcgsrh101_b5
09fallcgsrh101_b8	09fallcgsrh101_b5
09fallcasam367_a1	09fallcasah367_a1
09fallcasah367_a1	09fallcasah367_a1
09fallgrsam867_a1	09fallgrsam867_a1
09fallgrsah867_a1	09fallgrsam867_a1
09fallcasir594_a1	09fallcasir594_a1
09fallcasge594_a1	09fallcasir594_a1
09fallcasah322_a1	09fallcasah322_a1
09fallcasar322_a1	09fallcasah322_a1
09fallcgsrh101_h3	09fallcgsrh101_h1
09fallcgsrh101_h1	09fallcgsrh101_h1
09fallcgsrh101_h2	09fallcgsrh101_h1
09fallcgsrh101_h4	09fallcgsrh101_h1
09fallcaswr100_d6	09fallcaswr100_d6
09fallcaswr100_e5	09fallcaswr100_d6
09fallcaswr100_f4	09fallcaswr100_d6
09fallseded101_a1	09fallseded101_a1
09fallseded101_b1	09fallseded101_a1
09fallseded101_c1	09fallseded101_a1
09fallseded101_d1	09fallseded101_a1
09fallseded101_g1	09fallseded101_a1
09fallseded101_h1	09fallseded101_a1
09fallshahf280_a2	09fallshahf280_a2
09fallshahf280_b1	09fallshahf280_a2
09fallcomcm321_a1	09fallcomcm321_a1
09fallcomcm321_b1	09fallcomcm321_a1
09fallcasec101_c1	09fallcasec101_c1
09fallcasec101_d1	09fallcasec101_c1
09fallcasir542_a1	09fallcasir542_a1
09fallcaspo556_a1	09fallcasir542_a1
09fallcgsns201_x1	09fallcgsns201_x1
09fallcgsns201_x2	09fallcgsns201_x1
09fallcaswr150_h2	09fallcaswr150_h2
09fallcaswr150_i4	09fallcaswr150_h2
09fallcaswr100_k9	09fallcaswr100_k9
09fallcaswr100_md	09fallcaswr100_k9
09fallcaswr202_a1	09fallcaswr202_a1
09fallcaswr202_b1	09fallcaswr202_a1
09fallcaswr100_c1	09fallcaswr100_c1
